file_name,Tongue_darkred,Tongue_bluepurple,Tongue_nospecialcolor,Tongue_othercolor
0267-1.jpg,FALSE,FALSE,1,FALSE
0268-1.jpg,FALSE,FALSE,1,FALSE
0269-1.jpg,FALSE,FALSE,1,FALSE
0270-1.jpg,FALSE,FALSE,1,FALSE
0271-1.jpg,FALSE,FALSE,1,FALSE
0272-1.jpg,FALSE,FALSE,1,FALSE
0273-1.jpg,FALSE,FALSE,1,FALSE
0274-1.jpg,FALSE,FALSE,1,FALSE
0275-1.jpg,FALSE,1,FALSE,FALSE
0002-1.jpg,FALSE,FALSE,1,FALSE
0003-1.jpg,FALSE,FALSE,1,FALSE
0004-1.jpg,FALSE,FALSE,1,FALSE
0005-1.jpg,FALSE,FALSE,1,FALSE
0006-1.jpg,FALSE,FALSE,1,FALSE
0007-1.jpg,FALSE,FALSE,1,FALSE
0008-1.jpg,FALSE,FALSE,1,FALSE
0009-1.jpg,FALSE,FALSE,1,FALSE
0010-1.jpg,FALSE,FALSE,1,FALSE
0011-1.jpg,FALSE,1,FALSE,FALSE
0012-1.jpg,FALSE,FALSE,1,FALSE
0013-1.jpg,FALSE,FALSE,1,FALSE
0013-2.jpg,FALSE,FALSE,1,FALSE
0015-1.jpg,FALSE,FALSE,1,FALSE
0016-1.jpg,FALSE,FALSE,1,FALSE
0016-2.jpg,1,FALSE,FALSE,FALSE
0017-1.jpg,FALSE,FALSE,1,FALSE
0018-1.jpg,FALSE,FALSE,1,FALSE
0019-1.jpg,FALSE,FALSE,1,FALSE
0020-1.jpg,FALSE,FALSE,1,FALSE
0021-1.jpg,FALSE,FALSE,1,FALSE
0022-3.jpg,FALSE,FALSE,1,FALSE
0023-1.jpg,FALSE,FALSE,1,FALSE
0024-1.jpg,FALSE,FALSE,1,FALSE
0025-1.jpg,FALSE,FALSE,1,FALSE
0025-2.jpg,FALSE,FALSE,1,FALSE
0026-1.jpg,FALSE,FALSE,1,FALSE
0026-2.jpg,FALSE,FALSE,1,FALSE
0027-1.jpg,FALSE,FALSE,1,FALSE
0028-1.jpg,FALSE,FALSE,1,FALSE
0028-2.jpg,FALSE,FALSE,1,FALSE
0029-1.jpg,FALSE,FALSE,1,FALSE
0030-1.jpg,FALSE,FALSE,1,FALSE
